fromNode	toNode	weight	direction	fromAltName	toAltName
EIF4G3	CLCN3	0.447149245596378	undirected	NA	NA
EIF4G3	CORO1C	0.444544600747961	undirected	NA	NA
EIF4G3	KCTD20	0.447854487048611	undirected	NA	NA
EIF4G3	SSX2IP	0.453016408782045	undirected	NA	NA
EIF4G3	PRDX6	0.453855545962404	undirected	NA	NA
EIF4G3	MAX	0.455615832243729	undirected	NA	NA
EIF4G3	RAP1B	0.448175443457954	undirected	NA	NA
EIF4G3	PTPN12	0.454535802953705	undirected	NA	NA
EIF4G3	MPP1	0.452710207647717	undirected	NA	NA
EIF4G3	WDR44	0.445596195405277	undirected	NA	NA
EIF4G3	MAP1LC3B	0.447063551852615	undirected	NA	NA
EIF4G3	PRUNE1	0.449759466472524	undirected	NA	NA
EIF4G3	MBNL1	0.451639530798841	undirected	NA	NA
EIF4G3	ASAP1	0.445053564282011	undirected	NA	NA
EIF4G3	YWHAZ	0.448625653931116	undirected	NA	NA
EIF4G3	HOOK3	0.448128222884068	undirected	NA	NA
EIF4G3	LIMS1	0.453197519477936	undirected	NA	NA
EIF4G3	TLK1	0.452995041376301	undirected	NA	NA
EIF4G3	LRBA	0.450732175501796	undirected	NA	NA
NLK	UIMC1	0.433250620051907	undirected	NA	NA
NLK	SNAP23	0.440566876096301	undirected	NA	NA
NLK	GRAP2	0.448265835390415	undirected	NA	NA
NLK	DAAM1	0.444821638620154	undirected	NA	NA
NLK	DNAJB6	0.437946392779997	undirected	NA	NA
NLK	YWHAE	0.436124952459826	undirected	NA	NA
NLK	CLCN3	0.437146747169816	undirected	NA	NA
NLK	CORO1C	0.437480905418964	undirected	NA	NA
NLK	KCTD20	0.436463593962615	undirected	NA	NA
NLK	SSX2IP	0.452307533406985	undirected	NA	NA
NLK	PRDX6	0.442124900393299	undirected	NA	NA
NLK	MAX	0.449917954741621	undirected	NA	NA
NLK	RAP1B	0.437914748293614	undirected	NA	NA
NLK	PTPN12	0.446414751173616	undirected	NA	NA
NLK	MPP1	0.439208201835609	undirected	NA	NA
NLK	WDR44	0.433806816948492	undirected	NA	NA
NLK	MAP1LC3B	0.437182904375231	undirected	NA	NA
NLK	PRUNE1	0.44707966949655	undirected	NA	NA
NLK	MBNL1	0.442783523006872	undirected	NA	NA
NLK	ASAP1	0.431533521450047	undirected	NA	NA
NLK	YWHAZ	0.438806149104706	undirected	NA	NA
NLK	HOOK3	0.435361522011218	undirected	NA	NA
NLK	LIMS1	0.4483523610573	undirected	NA	NA
NLK	TLK1	0.448812047982996	undirected	NA	NA
NLK	LRBA	0.447090636254588	undirected	NA	NA
UIMC1	SNAP23	0.428298138781132	undirected	NA	NA
UIMC1	GRAP2	0.442768127062256	undirected	NA	NA
UIMC1	DAAM1	0.439802246425463	undirected	NA	NA
UIMC1	DNAJB6	0.433546169410233	undirected	NA	NA
UIMC1	YWHAE	0.425704056946401	undirected	NA	NA
UIMC1	CLCN3	0.428286353000157	undirected	NA	NA
UIMC1	CORO1C	0.433712879184826	undirected	NA	NA
UIMC1	KCTD20	0.422360910151188	undirected	NA	NA
UIMC1	SSX2IP	0.446456533332137	undirected	NA	NA
UIMC1	PRDX6	0.43821932731834	undirected	NA	NA
UIMC1	MAX	0.445837809767663	undirected	NA	NA
UIMC1	RAP1B	0.427104882213415	undirected	NA	NA
UIMC1	PTPN12	0.440241512485258	undirected	NA	NA
UIMC1	MPP1	0.430327616598857	undirected	NA	NA
UIMC1	WDR44	0.427859872628705	undirected	NA	NA
UIMC1	MAP1LC3B	0.426349831763482	undirected	NA	NA
UIMC1	PRUNE1	0.443821866666012	undirected	NA	NA
UIMC1	MBNL1	0.429701938349614	undirected	NA	NA
UIMC1	ASAP1	0.421601379420801	undirected	NA	NA
UIMC1	YWHAZ	0.425936844760398	undirected	NA	NA
UIMC1	HOOK3	0.432074010052379	undirected	NA	NA
UIMC1	LIMS1	0.44016116664442	undirected	NA	NA
UIMC1	TLK1	0.442954448927022	undirected	NA	NA
UIMC1	LRBA	0.439657571012974	undirected	NA	NA
SNAP23	GRAP2	0.451710855641916	undirected	NA	NA
SNAP23	DAAM1	0.445665366916523	undirected	NA	NA
SNAP23	DNAJB6	0.440616117941865	undirected	NA	NA
SNAP23	YWHAE	0.433006254005755	undirected	NA	NA
SNAP23	CLCN3	0.438608443059599	undirected	NA	NA
SNAP23	CORO1C	0.438512155707453	undirected	NA	NA
SNAP23	KCTD20	0.434983583963097	undirected	NA	NA
SNAP23	SSX2IP	0.45560850289191	undirected	NA	NA
SNAP23	PRDX6	0.446883032037853	undirected	NA	NA
SNAP23	MAX	0.453982166661317	undirected	NA	NA
SNAP23	RAP1B	0.432637840606137	undirected	NA	NA
SNAP23	PTPN12	0.45029382996517	undirected	NA	NA
SNAP23	MPP1	0.436198527515872	undirected	NA	NA
SNAP23	WDR44	0.433480480621387	undirected	NA	NA
SNAP23	MAP1LC3B	0.434895948708699	undirected	NA	NA
SNAP23	PRUNE1	0.45035050217194	undirected	NA	NA
SNAP23	MBNL1	0.441620456458554	undirected	NA	NA
SNAP23	ASAP1	0.429682313568128	undirected	NA	NA
SNAP23	YWHAZ	0.435756424968642	undirected	NA	NA
SNAP23	HOOK3	0.439774127767505	undirected	NA	NA
SNAP23	LIMS1	0.451678071795512	undirected	NA	NA
SNAP23	TLK1	0.452187842928358	undirected	NA	NA
SNAP23	LRBA	0.448725982191916	undirected	NA	NA
GRAP2	DAAM1	0.4527079953052	undirected	NA	NA
GRAP2	DNAJB6	0.447123804706077	undirected	NA	NA
GRAP2	YWHAE	0.444915478873094	undirected	NA	NA
GRAP2	CLCN3	0.447558203800137	undirected	NA	NA
GRAP2	CORO1C	0.441827096377895	undirected	NA	NA
GRAP2	KCTD20	0.445708613286781	undirected	NA	NA
GRAP2	SSX2IP	0.460952841812468	undirected	NA	NA
GRAP2	PRDX6	0.452290337203561	undirected	NA	NA
GRAP2	MAX	0.459383923279234	undirected	NA	NA
GRAP2	RAP1B	0.444383834726077	undirected	NA	NA
GRAP2	PTPN12	0.455364851401573	undirected	NA	NA
GRAP2	MPP1	0.450330618473009	undirected	NA	NA
GRAP2	WDR44	0.443018370655391	undirected	NA	NA
GRAP2	MAP1LC3B	0.44503320341825	undirected	NA	NA
GRAP2	PRUNE1	0.458200910331578	undirected	NA	NA
GRAP2	MBNL1	0.45328646575258	undirected	NA	NA
GRAP2	ASAP1	0.437976237102623	undirected	NA	NA
GRAP2	YWHAZ	0.44709128932028	undirected	NA	NA
GRAP2	HOOK3	0.443768516188983	undirected	NA	NA
GRAP2	LIMS1	0.458875054148408	undirected	NA	NA
GRAP2	TLK1	0.457114998825734	undirected	NA	NA
GRAP2	LRBA	0.456098275308614	undirected	NA	NA
DAAM1	DNAJB6	0.443813817524003	undirected	NA	NA
DAAM1	YWHAE	0.439627368872113	undirected	NA	NA
DAAM1	CLCN3	0.444235696086831	undirected	NA	NA
DAAM1	CORO1C	0.439789012937775	undirected	NA	NA
DAAM1	KCTD20	0.439014470391207	undirected	NA	NA
DAAM1	SSX2IP	0.447781623905434	undirected	NA	NA
DAAM1	PRDX6	0.445325147998542	undirected	NA	NA
DAAM1	MAX	0.450146407725499	undirected	NA	NA
DAAM1	RAP1B	0.44330167874988	undirected	NA	NA
DAAM1	PTPN12	0.448174626661715	undirected	NA	NA
DAAM1	MPP1	0.443320405238608	undirected	NA	NA
